Skip,"Пропустить"
WarlockDescription,"Персонаж дальнего боя, пологающийся на помощь потустаронних сил"
Armor,"Броня"
Menu,"Меню"
Upgrades,"Улучшения"
Weapons,"Оружия"
ClassAbility,"Классовые способности"
KnowledgeBase,"База Знаний"
AmbientSound,"Общая громкость"
InterfaceSound,"Громкость интерфейса"
Settings,"Настройки"
Sound,"Звук"
Language,"Язык"
MuteSound,"Отключить звук"
FastTip,"Быстрый совет"
DescriptionsAbility,"Описание способности"
NameAbility,"Название способности"
NameWeapon,"Название оружия"
ResetAbilityPoints,"Сброс очков улучшений"
NameStats,"Назвение характеристики"
DescriptionsStats,"Описание характеристики"
ChooseMod,"Выбор режима"
Levels,"Уровни"
DescriptionsLevel,"Покорите глубины подземелья"
Contracts,"Контракты"
DescriptionsContracts,"Купить особый контракт, выполнив который получите особое вознаграждение"
ChooseLevel,"Выбор уровня"
LevelName,"Название уровня"
DescriptionLvlOrContracts,"Описание уровня"
DamageDescription,"Увеличивает урон игрока"
Regeneration,"Регенерация"
RegenerationDescription,"Увеличивает скорость восстановления здоровья"
AxeElven,"Эльфийский топор"
AxeEvolving,"Топор Перемен"
AxeIron,"Железный топор"
ShadowAxe,"Топор Тьмы"
StoneAxe,"Каменный топор"
DragonStaff,"Драконий посох"
ElvenStaff,"Эльфийсий посох"
IceStaff,"Ледяной посох"
ShadowStaff,"Посох тьмы"
WoodStaff,"Деревянный посох"
ElvenHammer,"Эльфийский молот"
FantasyHammer,"Фантастический молот"
IronHammer,"Стальной молот"
ShadowHammer,"Молот тьмы"
StandardHammer,"Старый молот"
LifeStealValue,"Вампиризм"
LifeStealChance,"Шанс вампиризма"
CritChance,"Шанс критического урона"
CritDamage,"Критический урон"
BonusArmor,"Бонусная броня"
Coins,"Монеты"
RerollPoints,"Очки обновений"
PlayerStats,"Статистика игрока"
GameStats,"Статистика игры"
CurrentLevel,"Текущий уровень"
KillCount,"Количество убийств"
ArmorDescription,"Увеличивает броню игрока"
AbilityStats,"Параметры"
Quantity,"Количество"
AbilityDamage,"Урон"
MoveSpeed,"Скорость передвижения"
Healing,"Исцеление"
HealtReduce,"Снижение уровня здоровья"
AbilityCooldownDescription,"Уменьшает время перезарядки всех способностей"
AbilityDamageDescription,"Увеличивает урон от способностей"
AbilityDurationDescription,"Увеличивает длительность способностей"
KnowledgeBase,"База знаний"
Player,"Игрок"
Game,"Игра"
Enemy,"Противник"
PaladinStrengths,"Большое количество брони. Оглушающий урон"
WarlockStrengths,"Дальний тип атаки. Заклинания наносят больше урона."
BarbarianStrengths,"Большой физический урон. Лечение вампиризмом."
BasicWeapon,"Основное оружие"
Update,"Улучшения"
PrimalyCard,"Данная карта не улучшается"
Cards,"Карты способностей"
GameModes,"Режимы игры"
PlayerClass,"Классы игрока"
